PERMNO,date,SHRCD,TICKER,TRDSTAT,HEXCD,CUSIP,DLSTCD,DLPRC,DLRET,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC
10001,01/02/1992,11,GFGC,A,2,36720410,,,,14.50000,14.50000,14.50000,100,0.000000,14.50000,15.25000,1075,3,3,
10001,01/03/1992,11,GFGC,A,2,36720410,,,,14.50000,14.50000,14.50000,498,0.000000,14.50000,15.25000,1075,3,3,
10001,01/06/1992,11,GFGC,A,2,36720410,,,,14.50000,14.50000,14.50000,100,0.000000,14.50000,15.25000,1075,3,3,
10001,01/07/1992,11,GFGC,A,2,36720410,,,,14.50000,15.25000,14.50000,417,0.000000,14.50000,15.25000,1075,3,3,
10001,01/08/1992,11,GFGC,A,2,36720410,,,,14.50000,15.12500,15.12500,500,0.043103,14.50000,15.25000,1075,3,3,
10001,01/09/1992,11,GFGC,A,2,36720410,,,,14.50000,14.50000,14.50000,1200,-0.041322,14.50000,15.25000,1075,3,3,
10001,01/10/1992,11,GFGC,A,2,36720410,,,,14.50000,14.50000,14.50000,150,0.000000,14.50000,15.25000,1075,3,3,
10001,01/13/1992,11,GFGC,A,2,36720410,,,,14.50000,14.50000,14.50000,1200,0.000000,14.50000,15.25000,1075,3,3,
10001,01/14/1992,11,GFGC,A,2,36720410,,,,14.50000,14.50000,14.50000,800,0.000000,14.50000,15.25000,1075,3,3,
10001,01/15/1992,11,GFGC,A,2,36720410,,,,14.50000,15.25000,15.00000,1200,0.034483,14.25000,15.00000,1075,3,3,
10001,01/16/1992,11,GFGC,A,2,36720410,,,,14.25000,14.25000,14.25000,200,-0.050000,14.25000,15.00000,1075,3,3,
10001,01/17/1992,11,GFGC,A,2,36720410,,,,14.25000,15.00000,15.00000,2425,0.052632,14.25000,15.00000,1075,3,3,
10001,01/20/1992,11,GFGC,A,2,36720410,,,,14.25000,15.00000,14.75000,3100,-0.016667,14.25000,15.00000,1075,3,3,
10001,01/21/1992,11,GFGC,A,2,36720410,,,,14.25000,14.25000,14.25000,1000,-0.033898,14.25000,15.00000,1075,3,3,
10001,01/22/1992,11,GFGC,A,2,36720410,,,,14.25000,15.00000,14.75000,2690,0.035088,14.25000,14.75000,1075,3,3,
10001,01/23/1992,11,GFGC,A,2,36720410,,,,14.00000,14.50000,14.00000,3035,-0.050847,14.00000,14.50000,1075,3,3,
10001,01/24/1992,11,GFGC,A,2,36720410,,,,14.00000,14.00000,14.00000,1450,0.000000,13.75000,14.50000,1075,3,3,
10001,01/27/1992,11,GFGC,A,2,36720410,,,,13.75000,14.50000,-14.12500,0,0.008929,13.75000,14.50000,1075,3,3,
10001,01/28/1992,11,GFGC,A,2,36720410,,,,13.75000,14.50000,14.50000,500,0.026549,13.75000,14.50000,1075,3,3,
10001,01/29/1992,11,GFGC,A,2,36720410,,,,14.50000,14.50000,14.50000,100,0.000000,13.75000,14.50000,1075,3,3,
10001,01/30/1992,11,GFGC,A,2,36720410,,,,13.75000,13.75000,13.75000,200,-0.051724,13.75000,14.50000,1075,3,3,
10001,01/31/1992,11,GFGC,A,2,36720410,,,,13.75000,13.75000,13.75000,200,0.000000,13.75000,14.50000,1075,3,3,
10001,02/03/1992,11,GFGC,A,2,36720410,,,,13.75000,13.75000,13.75000,1000,0.000000,13.75000,14.50000,1075,3,3,
10001,02/04/1992,11,GFGC,A,2,36720410,,,,13.75000,14.50000,13.75000,1500,0.000000,13.75000,14.50000,1075,3,3,
10001,02/05/1992,11,GFGC,A,2,36720410,,,,13.75000,14.50000,-14.12500,0,0.027273,13.75000,14.50000,1075,3,3,
