PERMNO|date|SHRCD|TICKER|TRDSTAT|HEXCD|CUSIP|DLSTCD|DLPRC|DLRET|BIDLO|ASKHI|PRC|VOL|RET|BID|ASK|SHROUT|CFACPR|CFACSHR|OPENPRC
10001|1992.01.02|11|GFGC|A|2|36720410||||14.5|14.5|14.5|100|0|14.5|15.25|1075|3|3|
10001|1992.01.03|11|GFGC|A|2|36720410||||14.5|14.5|14.5|498|0|14.5|15.25|1075|3|3|
10001|1992.01.06|11|GFGC|A|2|36720410||||14.5|14.5|14.5|100|0|14.5|15.25|1075|3|3|
10001|1992.01.07|11|GFGC|A|2|36720410||||14.5|15.25|14.5|417|0|14.5|15.25|1075|3|3|
10001|1992.01.08|11|GFGC|A|2|36720410||||14.5|15.125|15.125|500|0.043103|14.5|15.25|1075|3|3|
10001|1992.01.09|11|GFGC|A|2|36720410||||14.5|14.5|14.5|1200|-0.041322|14.5|15.25|1075|3|3|
10001|1992.01.10|11|GFGC|A|2|36720410||||14.5|14.5|14.5|150|0|14.5|15.25|1075|3|3|
10001|1992.01.13|11|GFGC|A|2|36720410||||14.5|14.5|14.5|1200|0|14.5|15.25|1075|3|3|
10001|1992.01.14|11|GFGC|A|2|36720410||||14.5|14.5|14.5|800|0|14.5|15.25|1075|3|3|
10001|1992.01.15|11|GFGC|A|2|36720410||||14.5|15.25|15|1200|0.034483|14.25|15|1075|3|3|
10001|1992.01.16|11|GFGC|A|2|36720410||||14.25|14.25|14.25|200|-0.05|14.25|15|1075|3|3|
10001|1992.01.17|11|GFGC|A|2|36720410||||14.25|15|15|2425|0.052632|14.25|15|1075|3|3|
10001|1992.01.20|11|GFGC|A|2|36720410||||14.25|15|14.75|3100|-0.016667|14.25|15|1075|3|3|
10001|1992.01.21|11|GFGC|A|2|36720410||||14.25|14.25|14.25|1000|-0.033898|14.25|15|1075|3|3|
10001|1992.01.22|11|GFGC|A|2|36720410||||14.25|15|14.75|2690|0.035088|14.25|14.75|1075|3|3|
